iter	Passed	Remaining
0	61	6042
1	62	3056
2	63	2059
3	65	1561
4	66	1264
5	67	1063
6	69	920
7	70	814
8	72	729
9	73	662
10	75	607
11	76	559
12	77	519
13	79	485
14	80	455
15	81	428
16	83	406
17	84	382
18	85	363
19	86	346
20	88	331
21	89	317
22	90	304
23	92	293
24	94	282
25	95	272
26	96	262
27	98	252
28	99	244
29	101	235
30	102	227
31	103	220
32	105	213
33	106	206
34	107	200
35	109	194
36	110	188
37	111	182
38	113	177
39	114	172
40	116	167
41	117	162
42	118	157
43	120	153
44	121	148
45	122	144
46	124	140
47	125	136
48	127	132
49	128	128
50	129	124
51	131	121
52	133	118
53	134	114
54	136	111
55	137	107
56	138	104
57	140	101
58	141	98
59	143	95
60	144	92
61	145	89
62	147	86
63	148	83
64	149	80
65	151	77
66	152	75
67	154	72
68	156	70
69	157	67
70	158	64
71	160	62
72	161	59
73	163	57
74	164	54
75	166	52
76	167	50
77	168	47
78	170	45
79	171	42
80	172	40
81	174	38
82	175	35
83	177	33
84	178	31
85	179	29
86	181	27
87	182	24
88	183	22
89	185	20
90	186	18
91	187	16
92	188	14
93	190	12
94	191	10
95	193	8
96	194	6
97	195	3
98	197	1
99	198	0
